title,authors,year,doi,pdf_url,article_url,cited_by,abstract
Engineering Dry Electrode Manufacturing for Sustainable Lithium-Ion Batteries,"Mohamed Djihad Bouguern, Anil Kumar Madikere Raghunatha Reddy, Xia Li, Sixu Deng, Harriet Laryea, Karim Zaghib",2024,https://doi.org/10.3390/batteries10010039,https://www.mdpi.com/2313-0105/10/1/39/pdf?version=1706059967,https://www.mdpi.com/2313-0105/10/1/39,44,"The pursuit of industrializing lithium-ion batteries (LIBs) with exceptional energy density and top-tier safety features presents a substantial growth opportunity. The demand for energy storage is steadily rising, driven primarily by the growth in electric vehicles and the need for stationary energy storage systems. However, the manufacturing process of LIBs, which is crucial for these applications, still faces significant challenges in terms of both financial and environmental impacts. Our review paper comprehensively examines the dry battery electrode technology used in LIBs, which implies the use of no solvents to produce dry electrodes or coatings. In contrast, the conventional wet electrode technique includes processes for solvent recovery/drying and the mixing of solvents like N-methyl pyrrolidine (NMP). Methods that use dry films bypass the need for solvent blending and solvent evaporation processes. The advantages of dry processes include a shorter production time, reduced energy consumption, and lower equipment investment. This is because no solvent mixing or drying is required, making the production process much faster and, thus, decreasing the price. This review explores three solvent-free dry film techniques, such as extrusion, binder fibrillation, and dry spraying deposition, applied to LIB electrode coatings. Emphasizing cost-effective large-scale production, the critical methods identified are hot melting, extrusion, and binder fibrillation. This review provides a comprehensive examination of the solvent-free dry-film-making methods, detailing the underlying principles, procedures, and relevant parameters. Full article"
"A Review of Lithium-Ion Battery Recycling: Technologies, Sustainability, and Open Issues","Alessandra Zanoletti, Eleonora Carena, Chiara Ferrara, Elza Bontempi",2024,https://doi.org/10.3390/batteries10010038,https://www.mdpi.com/2313-0105/10/1/38/pdf?version=1705894348,https://www.mdpi.com/2313-0105/10/1/38,121,"Lithium-ion batteries (LIBs) are a widely used energy storage technology as they possess high energy density and are characterized by the reversible intercalation/deintercalation of Li ions between electrodes. The rapid development of LIBs has led to increased production efficiency and lower costs for manufacturers, resulting in a growing demand for batteries and their application across various industries, particularly in different types of vehicles. In order to meet the demand for LIBs while minimizing climate-impacting emissions, the reuse, recycling, and repurposing of LIBs is a critical step toward achieving a sustainable battery economy. This paper provides a comprehensive review of lithium-ion battery recycling, covering topics such as current recycling technologies, technological advancements, policy gaps, design strategies, funding for pilot projects, and a comprehensive strategy for battery recycling. Additionally, this paper emphasizes the challenges associated with developing LIB recycling and the opportunities arising from these challenges, such as the potential for innovation and the creation of a more sustainable and circular economy. The environmental implications of LIB recycling are also evaluated with methodologies able to provide a sustainability analysis of the selected technology. This paper aims to enhance the comprehension of these trade-offs and encourage discussion on determining the “best” recycling route when targets are in conflict. Full article"
Pretreatment of Lithium Ion Batteries for Safe Recycling with High-Temperature Discharging Approach,"Arpita Mondal, Yuhong Fu, Wei Gao, Chunting Chris Mi",2024,https://doi.org/10.3390/batteries10010037,https://www.mdpi.com/2313-0105/10/1/37/pdf?version=1705834349,https://www.mdpi.com/2313-0105/10/1/37,15,"The ongoing transition toward electric vehicles is a major factor in the exponential rise in demand for lithium-ion batteries (LIBs). There is a significant effort to recycle battery materials to support the mining industry in ensuring enough raw materials and avoiding supply disruptions, so that there will be enough raw materials to produce LIBs. Nevertheless, LIBs that have reached the end of their useful lives and are sent for recycling may still have some energy left in them, which could be dangerous during handling and processing. Therefore, it is important to conduct discharge pretreatment of LIBs before dismantling and crushing them, especially in cases where pyrometallurgical recycling is not used. Electrochemical discharge in conducting solutions has been commonly studied and implemented for this purpose, but its effectiveness has yet to be fully validated. Non-electrochemical discharge has also been researched as a potentially cleaner and more efficient discharge technology at the same time. This article presents a non-electrochemical discharge process by completely draining the energy from used batteries before recycling. A comprehensive investigation of the behavior of LIBs during discharge and the amount of energy remaining after fully discharging the battery at different temperatures is analyzed in this work. According to the experimental findings, completely discharging the battery at higher temperatures results in a reduced amount of residual energy in the battery. This outcome holds great importance in terms of safe and environmentally friendly recycling of used LIBs, emphasizing that safety and environmentally friendly recycling must go hand in hand with a cost-effective and sustainable solution. Full article"
"Techno-Economic Analysis of the Business Potential of Second-Life Batteries in Ostrobothnia, Finland","Sami Lieskoski, Jessica Tuuf, Margareta Björklund-Sänkiaho",2024,https://doi.org/10.3390/batteries10010036,https://www.mdpi.com/2313-0105/10/1/36/pdf?version=1705753100,https://www.mdpi.com/2313-0105/10/1/36,16,"In an effort to tackle climate change, various sectors, including the transport sector, are turning towards increased electrification. As a result, there has been a swift increase in the sales of electric vehicles (EVs) that use lithium-ion batteries (LIBs). When LIBs reach their end of life in EVs, it may still be possible to use them in other, less demanding applications, giving them a second life. This article describes a case study where the feasibility of a hypothetical business repurposing Tesla Model S/X batteries in the Ostrobothnia region, Finland, is investigated. A material-flow analysis is conducted to estimate the number of batteries becoming available for second-life applications from both the Ostrobothnia region and Finland up to 2035. The cost of repurposing batteries is evaluated for four different scenarios, with the batteries being processed either on the pack, module, or cell level. Three scenarios were found to be feasible, with repurposing costs of 27.2–38.3 EUR/kWh. The last scenario, in which all battery packs are disassembled at the cell level, was found not to be feasible due to the labor intensiveness of disassembly and testing at the cell level. This work gives indications of the potential for repurposing batteries in the Ostrobothnia region and Finland. Full article"
Bismuth Nanoparticles Encapsulated in a Porous Carbon Skeleton as Stable Chloride-Storage Electrodes for Seawater Desalination,"Xiaoqing Dong, Ying Wang, Qian Zou, Chaolin Li",2024,https://doi.org/10.3390/batteries10010035,https://www.mdpi.com/2313-0105/10/1/35/pdf?version=1705652532,https://www.mdpi.com/2313-0105/10/1/35,5,"Cost-effective bismuth (Bi) boasts a high theoretical capacity and exceptional selectivity towards Cl - ion storage, making it a promising material for desalination batteries (DBs). However, the substantial volume expansion and low conductivity severely hinder the cycling performance of Bi-based DBs. In this study, a carbon-layer-coated Bi nanocomposite (Bi@C) was synthesized by pyrolyzing a metal–organic framework (Bi-MOF) containing Bi using a straightforward method. The results show that the Bi@C synthesized under the condition of annealing at 700 °C for 2 h has the optimum properties. The Bi@C has good multiplication performance, and the desalination capacity is 106.1 mg/g at a high current density of 1000 mA/g. And the material exhibited a high desalination capacity of 141.9 mg/g at a current density of 500 mA/g and retained 66.9% of its capacity after 200 cycles. In addition, the Bi@C can operate at a wide range of NaCl concentrations from 0.05 to 2 mol/L. The desalination mechanism analysis of the Bi@C revealed that the carbon coating provides space for Bi particles to expand in volume, thereby mitigating the issues of electrode material powdering and shedding. Meanwhile, the porous carbon skeleton establishes electron and ion channels to enhance the electrode material’s conductivity. This research offers a promising strategy for the application of chloride-storage electrode materials in electrochemical desalination systems. Full article"
Review on Modeling and SOC/SOH Estimation of Batteries for Automotive Applications,"Pierpaolo Dini, Antonio Colicelli, Sergio Saponara",2024,https://doi.org/10.3390/batteries10010034,https://www.mdpi.com/2313-0105/10/1/34/pdf?version=1705636804,https://www.mdpi.com/2313-0105/10/1/34,81,"Lithium-ion batteries have revolutionized the portable and stationary energy industry and are finding widespread application in sectors such as automotive, consumer electronics, renewable energy, and many others. However, their efficiency and longevity are closely tied to accurately measuring their SOC and state of health (SOH). The need for precise algorithms to estimate SOC and SOH has become increasingly critical in light of the widespread adoption of lithium-ion batteries in industrial and automotive applications. While the benefits of lithium-ion batteries are undeniable, the challenges related to their efficient and safe management cannot be overlooked. Accurate estimation of SOC and SOH is crucial for ensuring optimal battery management, maximizing battery lifespan, optimizing performance, and preventing sudden failures. Consequently, research and development of reliable algorithms for estimating SOC and SOH have become an area of growing interest for the scientific and industrial community. This review article aims to provide an in-depth analysis of the state-of-the-art in SOC and SOH estimation algorithms for lithium-ion batteries. The most recent and promising theoretical and practical techniques used to address the challenges of accurate SOC and SOH estimation will be examined and evaluated. Additionally, critical evaluation of different approaches will be highlighted: emphasizing the advantages, limitations, and potential areas for improvement. The goal is to provide a clear view of the current landscape and to identify possible future directions for research and development in this crucial field for technological innovation. Full article"
Charging Stations for Large-Scale Deployment of Electric Vehicles,"Amel Benmouna, Laurence Borderiou, Mohamed Becherif",2024,https://doi.org/10.3390/batteries10010033,https://www.mdpi.com/2313-0105/10/1/33/pdf?version=1705643770,https://www.mdpi.com/2313-0105/10/1/33,16,"The large-scale adoption of electric vehicles will require a charging infrastructure that meets the new needs that will arise. Currently, the charging infrastructure for electric vehicles is still in the early stages of development, not least because of the low number of electric vehicles in use. However, there are still many questions to be answered when it comes to standardization in terms of connectors, DC or AC charging, and power, as well as both operational and economic issues. Although this topic has been the subject of numerous studies over the last ten years, there are still gaps to be filled, particularly with regard to the mix of different recharging strategies (normal, accelerated, fast, induction-track, etc.), as well as the economic and operational aspects. Moreover, the relationship between users and private cars is changing rapidly, and charging behaviors are not yet well established. Full article"
Investigation of Heat Transfer Enhancement Techniques on a Scalable Novel Hybrid Thermal Management Strategy for Lithium-Ion Battery Packs,"Seham Shahid, Martin Agelin-Chaab",2024,https://doi.org/10.3390/batteries10010032,https://www.mdpi.com/2313-0105/10/1/32/pdf?version=1705578382,https://www.mdpi.com/2313-0105/10/1/32,3,"This paper introduces a novel hybrid thermal management strategy, which uses secondary coolants (air and fluid) to extract heat from a phase change material (paraffin), resulting in an increase in the phase change material’s heat extraction capability and the battery module’s overall thermal performance. A novel cold plate design is developed and placed between the rows and columns of the cells. The cold plate contains a single fluid body to improve the thermal performance of the battery module. Experimental studies were conducted to obtain the temperature and heat flux profiles of the battery module. Moreover, a numerical model is developed and validated using the experimental data obtained. The numerical data stayed within ±2% of the experimental data. In addition, the ability of nanoparticles to increase the thermal conductivity of water is examined and it is found that the cooling from the liquid cooling component is not sensitive enough to capture the 0.32 W/m K increase in the thermal conductivity of the fluid. Furthermore, in order to enhance the air cooling, fins were added within the air duct to the cold plate. However, this is not feasible, as the pressure drop through the addition of the fins increased by ~245%, whereas the maximum temperature of the battery module reduced by only 0.6 K. Finally, when scaled up to an entire battery pack at a high discharge rate of 7 C, the numerical results showed that the overall temperature uniformity across the pack was 1.14 K, with a maximum temperature of 302.6 K, which was within the optimal operating temperature and uniformity ranges. Therefore, the developed thermal management strategy eliminates the requirement of a pump and reservoir and can be scaled up or down according to the energy and power requirements. Full article"
Comprehensive Modeling and Safety Protection Strategy for Thermal Runway Propagation in Lithium-Ion Battery Modules under Multi-Factor Influences,"Zhixiong Chai, Junqiu Li, Ziming Liu, Zhengnan Liu, Xin Jin",2024,https://doi.org/10.3390/batteries10010031,https://www.mdpi.com/2313-0105/10/1/31/pdf?version=1705568403,https://www.mdpi.com/2313-0105/10/1/31,4,"This paper addresses the challenge of thermal runaway propagation in lithium-ion battery modules and presents a safety protection design method based on a thermal propagation model. Firstly, it systematically analyzes the triggering mechanisms of thermal runaway in batteries, establishes a model for cell thermal runaway, and calibrates the model parameters through experiments. Secondly, by integrating the cell thermal runaway model and considering the three-dimensional structure of the battery module, a comprehensive thermal runaway propagation model is developed and validated. Subsequently, a simulation study on thermal runaway propagation, incorporating multi-factor influences and typical operating conditions, is conducted using the established thermal propagation model for the battery module. The study elucidates the thermal runaway propagation characteristics of the battery module under different safety protection strategies. The findings highlight that the proposed safety protection strategy effectively mitigates thermal propagation within the battery module, particularly when the thermal runaway is influenced by multiple factors. Full article"
Constructing a LiPON Layer on a 3D Lithium Metal Anode as an Artificial Solid Electrolyte Interphase with Long-Term Stability,"Qianmu Pan, Yongkun Yu, Yuxin Zhu, Chunli Shen, Minjian Gong, Kui Yan, Xu Xu",2024,https://doi.org/10.3390/batteries10010030,https://www.mdpi.com/2313-0105/10/1/30/pdf?version=1705550006,https://www.mdpi.com/2313-0105/10/1/30,2,"The problem of lithium dendrite growth has persistently hindered the advancement of lithium metal batteries. Lithium phosphorus oxynitride (LiPON), functioning as an amorphous solid electrolyte, is extensively employed as an artificial solid electrolyte interphase (SEI) owing to its remarkable stability and mechanical strength, which is beneficial for effectively mitigating dendrite growth. Nevertheless, the significant challenge arises from the volume changes in the Li metal anode during cycling, leading to the vulnerability of LiPON due to its high rigidity, which impedes the widespread use of LiPON. To address this problem, our study introduces a lithium-boron (Li-B) alloy as the anode, featuring a 3D structure, which can be synergistic with the artificial LiPON layer during cycling, leading to a better performance. The average Coulombic efficiency (CE) of a Li || Cu half-cell reaches 95% over 120 cycles. The symmetric cells exhibit sustained operation for 950 h with a low voltage polarization of less than 20 mV under a current density of 0.5 mA/cm 2 and for 410 h under 1 mA/cm 2 . Full article"
